source,product,metrics,campaign,ad_name,adset_name,date,actual,forecast,baseline
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,1551.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,1551.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,1551.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,1551.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-18,,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-18,1209.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jawa Barat | All Time,,,2023-04-18,372.0,,414.07142857142856
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-18,2143.0,,
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Experiment | General,,,2023-04-19,1799.0,,3335.1428571428573
Google,BPKB Mobil,Click,Leads | BPKB Mobil | Search | Web 1 | Nationwide | Targeting | General,,,2023-04-19,874.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Jabodetabek New,,,2023-04-19,692.0,,
Google,BPKB Motor,Click,Leads | BPKB Motor | Search | Web 1 | Nationwide | All Time,,,2023-04-19,1693.0,,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-13,,42.802294120502324,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-14,,45.67626418371958,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-15,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-16,,7.6209053416874895,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-17,,74.62059888632211,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-18,,39.71880529857333,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-19,,20.516034185787476,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-20,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-21,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-22,,0.0,
Google,Sertifikat Rumah,Click,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,2023-04-23,,0.0,
