created_date,product,campaign,clicks,cost,leads,prospect,funding,NTF
2022-08-29,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-08-29,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-30,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-08-30,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-08-31,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,,2.0,580211000.0
2022-08-31,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-09-01,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-09-01,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-09-02,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,1.0,,
2022-09-02,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,5.0,,
2022-09-03,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-09-05,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,2.0,,
2022-09-05,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
2022-09-06,Sertifikat Rumah,Leads | Seritifikat Rumah | PMax | Web 1 | Cover Area | All Time,,,,3.0,,
2022-09-06,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,3.0,,
2022-09-07,Sertifikat Rumah,Leads | Sertifikat Rumah | Search | Web 1 | Cover Area | All Time,,,,2.0,,
